Time,Comment,Scramble,Date
73.81061506271362,"",U F2 R' U F2 R D F B U2 F2 B D2 B' R' U' L B',2024-07-06 09:03:24 +0000
67.06316602230072,"",D R2 B2 F2 U2 R' B2 R U2 B2 U R2 F' L R' B' U' L' R',2024-05-28 13:57:41 +0000
71.06439697742462,"",R2 D U L2 R2 D B' L2 R' U2 F R U R' B2 F' L F2,2024-05-27 08:59:07 +0000
122.83301401138306,"",U B2 U' L2 F2 B' L B' F2 U' B2 U' L F2 R' U' B',2024-05-12 17:12:46 +0000
81.29730296134949,"",B' L' U' R' B U' B L2 U2 F2 U D2 L2 U2 B2 D' F2 R2 B',2024-05-25 14:42:41 +0000
78.57695508003235,"",F' U' L' R B2 F2 D2 R F2 R' B' D2 U L F' U' R D R',2024-05-17 11:06:40 +0000
69.73076295852661,"",F U' L2 D B2 L2 D2 R2 U F2 D2 B' R2 F' U' F2 R B R2,2024-05-25 06:42:11 +0000
58.269530057907104,"",B2 U' L B2 D2 U2 F U2 B R2 B' F2 D B' F' D U2 B' U2,2024-05-18 13:15:49 +0000
57.76315200328827,"",B L2 R2 U2 F L2 B' D2 B F D F U' F' D' L' D L R',2024-05-24 16:19:39 +0000
74.90161192417145,"",B2 R2 B D2 L2 F L2 F U2 L2 F2 U' F R D F2 L U2 B2,2024-05-19 09:20:10 +0000
79.79687798023224,"",D2 B' L2 D' R2 D B' D' R' L2 F' B L2 D2 L2 B' R2 B' D',2024-05-20 08:20:38 +0000
72.77845597267151,"",U2 F' U' D2 F' D R2 B' F2 R2 L U2 R' F2 L B2 L' B U2,2024-05-26 14:46:19 +0000
47.662891030311584,"",F2 D2 U F2 D' L2 F2 R2 L' D B' F D' B' R2 U2 R' D2,2024-06-08 11:14:52 +0000
78.29473292827606,"",D2 F' L2 F2 D2 B L2 R2 D' R F' D2 B' U2 R2 U R2 U2 R,2025-06-21 14:39:55 +0000
76.06247305870056,"",D2 B2 D R2 B2 U F2 L' B D2 B2 F U2 B2 F' U R U2,2024-06-04 17:31:52 +0000
93.80456304550171,"",R2 D2 R U F U2 D' R D2 F' D2 L F2 L' D2 R2 L U,2024-12-26 14:44:24 +0000
49.83103895187378,"",U2 L U2 L' D2 R B2 U F L R' B2 D' F2 L2 D2 B' D',2024-08-20 10:29:09 +0000
